Conectado ao TiDB.
Encontrados 293 estabelecimentos.
ID: 30000110, Slug: keito-pub-kei, Name: Keito (Pub Kei), Items: 38
ID: 30000111, Slug: we-coffee-av-paulista, Name: We Coffee Av. Paulista, Items: 30
ID: 30000112, Slug: speranza-pizzaria, Name: Speranza Pizzaria, Items: 30
ID: 30000113, Slug: sushi-do-bixiga, Name: Sushi do Bixiga, Items: 24
ID: 30000114, Slug: padaria-restaurante-e-pizzaria-palma-de-ouro, Name: Padaria Restaurante e Pizzaria Palma de Ouro, Items: 30
ID: 30000115, Slug: brigadeiro-presente-atelie, Name: Brigadeiro Presente - Ateliê, Items: 24
ID: 30000116, Slug: padaria-14-de-julho, Name: Padaria 14 de Julho, Items: 30
ID: 30000117, Slug: the-blue-pub, Name: The Blue Pub, Items: 32
ID: 30000118, Slug: babilonia-vegan, Name: Babilônia Vegan, Items: 24
ID: 30000119, Slug: padaria-bandeirante, Name: Padaria Bandeirante, Items: 20
ID: 30000120, Slug: o-meu-burger, Name: Ô Meu Burger, Items: 24
ID: 30000121, Slug: be-on-club, Name: Be On Club, Items: 24
ID: 30000122, Slug: cantina-e-pizzaria-piolin, Name: Cantina e Pizzaria Piolin, Items: 6
ID: 30000123, Slug: o-pedaco-da-pizza, Name: O Pedaço da Pizza, Items: 30
ID: 30000124, Slug: outs-pub, Name: OUTS PUB, Items: 24
ID: 30000125, Slug: urbe-cafe-bar, Name: URBE CAFÉ BAR, Items: 30
ID: 30000126, Slug: braz-pizzaria, Name: Bráz Pizzaria, Items: 20
ID: 30000127, Slug: cafe-sol, Name: Café Sol, Items: 20
ID: 30000128, Slug: restaurante-sushi-isao, Name: Restaurante Sushi Isao, Items: 20
ID: 30000129, Slug: sushi-liberdade-trailler, Name: Sushi Liberdade - Trailler, Items: 16
ID: 30000130, Slug: baianada-confeitaria, Name: Baianada Confeitaria, Items: 24
ID: 30000131, Slug: kinomizu-sushi, Name: Kinomizu Sushi, Items: 24
ID: 30000132, Slug: toshiro-sushi-santa-cecilia, Name: Toshiro Sushi - Santa Cecília, Items: 26
ID: 30000133, Slug: bispo-hamburgueria-delivery, Name: Bispo Hamburgueria - Delivery, Items: 20
ID: 30000134, Slug: hiatari-sushi-vila-mascote, Name: Hiatari Sushi Vila Mascote, Items: 30
